No.,Time,Source,Destination,Protocol,Length,URLs
18535,201.53875,10.200.52.16,18.64.141.129,TCP,54,[]
2951,30.585919,18.64.141.129,10.200.52.16,TCP,1494,[]
6024,51.085474,18.64.141.129,10.200.52.16,TCP,1494,[]
1394,10.791774,10.200.52.16,18.64.141.129,TCP,54,[]
5567,50.851272,10.200.52.16,18.64.141.129,TCP,54,[]
17281,181.253363,10.200.52.16,18.64.141.129,TCP,66,[]
7915,70.987027,10.200.52.16,18.64.141.129,TCP,54,[]
13509,140.753886,18.64.141.129,10.200.52.16,TCP,1494,[]
9253,90.820375,10.200.52.16,18.64.141.129,TCP,54,[]
3015,30.591318,18.64.141.129,10.200.52.16,TCP,1494,[]
8055,71.026464,18.64.141.129,10.200.52.16,TCP,1494,[]
16976,181.171432,18.64.141.129,10.200.52.16,TCP,1494,[]
14541,150.9328,18.64.141.129,10.200.52.16,TCP,1494,[]
15504,160.955913,10.200.52.16,18.64.141.129,TCP,66,[]
16900,181.16031,18.64.141.129,10.200.52.16,TCP,1494,[]
17180,181.223282,18.64.141.129,10.200.52.16,TCP,1494,[]
7145,60.903833,18.64.141.129,10.200.52.16,TCP,1494,[]
12837,131.228898,10.200.52.16,18.64.141.129,TCP,66,[]
13620,140.770725,18.64.141.129,10.200.52.16,TCP,1494,[]
17287,181.279831,18.64.141.129,10.200.52.16,TCP,1494,[]
1768,20.304106,10.200.52.16,18.64.141.129,TCP,54,[]
5663,50.899817,18.64.141.129,10.200.52.16,TCP,1494,[]
8405,81.022025,10.200.52.16,18.64.141.129,TCP,54,[]
17530,190.863269,10.200.52.16,18.64.141.129,TCP,74,[]
12024,120.959004,18.64.141.129,10.200.52.16,TCP,1494,[]
15275,160.804075,10.200.52.16,18.64.141.129,TCP,54,[]
16478,174.097413,10.200.52.16,172.217.19.202,UDP,1292,[]
4345,41.558545,18.64.141.129,10.200.52.16,TCP,1494,[]
10405,101.23897,10.200.52.16,18.64.141.129,TCP,66,[]
17988,191.984687,10.200.52.16,18.64.141.129,TCP,54,[]
11450,114.592149,10.200.52.16,172.217.21.37,TLSv1.2,89,[]
6661,60.298667,18.64.141.129,10.200.52.16,TCP,60,[]
11849,120.815837,18.64.141.129,10.200.52.16,TCP,1494,[]
11415,112.558972,172.217.19.202,10.200.52.16,UDP,64,[]
1003,10.481844,18.64.141.129,10.200.52.16,TCP,1494,[]
9011,90.494623,18.64.141.129,10.200.52.16,TCP,1494,[]
14729,150.953283,10.200.52.16,18.64.141.129,TCP,90,[]
15555,160.961396,10.200.52.16,18.64.141.129,TCP,54,[]
17876,191.715287,18.64.141.129,10.200.52.16,TCP,1494,[]
16012,170.735489,18.64.141.129,10.200.52.16,TCP,1494,[]
8488,81.044606,18.64.141.129,10.200.52.16,TCP,1494,[]
10260,101.188351,10.200.52.16,18.64.141.129,TCP,66,[]
16731,181.015178,18.64.141.129,10.200.52.16,TCP,1494,[]
11215,110.944112,18.64.141.129,10.200.52.16,TCP,1494,[]
2147,20.910833,10.200.52.16,18.64.141.129,TCP,54,[]
9479,90.975921,18.64.141.129,10.200.52.16,TCP,1494,[]
2663,21.498972,172.217.17.46,10.200.52.16,UDP,76,[]
19506,211.163734,18.64.141.129,10.200.52.16,TCP,1494,[]
7874,70.976455,18.64.141.129,10.200.52.16,TCP,1494,[]
3195,30.749483,10.200.52.16,18.64.141.129,TCP,54,[]
12060,120.962606,10.200.52.16,18.64.141.129,TCP,54,[]
2954,30.586077,18.64.141.129,10.200.52.16,TCP,1494,[]
17875,191.715287,18.64.141.129,10.200.52.16,TCP,1494,[]
6021,51.083521,18.64.141.129,10.200.52.16,TCP,1494,[]
19531,211.178352,10.200.52.16,18.64.141.129,TCP,90,[]
8196,76.71241,172.217.17.46,10.200.52.16,UDP,279,[]
16748,181.017226,18.64.141.129,10.200.52.16,TCP,1494,[]
16686,181.010526,18.64.141.129,10.200.52.16,TCP,1494,[]
