No.,Time,Source,Destination,Protocol,Length,Info
2,0.103239,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=1 Ack=1 Win=510 Len=1440 [TCP segment of a reassembled PDU]
3,0.103368,18.64.141.129,10.200.52.16,TCP,1494,[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=2881 Ack=1 Win=510 Len=1440 [TCP segment of a reassembled PDU]
4,0.103393,10.200.52.16,18.64.141.129,TCP,66,62984  >  443 [ACK] Seq=1 Ack=1441 Win=4162 Len=0 SLE=2881 SRE=4321
5,0.103473,18.64.141.129,10.200.52.16,TCP,1494,[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=5761 Ack=1 Win=510 Len=1440 [TCP segment of a reassembled PDU]
6,0.103487,10.200.52.16,18.64.141.129,TCP,74,[TCP Dup ACK 4#1] 62984  >  443 [ACK] Seq=1 Ack=1441 Win=4162 Len=0 SLE=5761 SRE=7201 SLE=2881 SRE=4321
7,0.103589,18.64.141.129,10.200.52.16,TCP,1494,[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=1441 Ack=1 Win=510 Len=1440 [TCP segment of a reassembled PDU]
8,0.103606,10.200.52.16,18.64.141.129,TCP,66,62984  >  443 [ACK] Seq=1 Ack=4321 Win=4162 Len=0 SLE=5761 SRE=7201
9,0.103712,18.64.141.129,10.200.52.16,TCP,1494,[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=4321 Ack=1 Win=510 Len=1440 [TCP segment of a reassembled PDU]
10,0.103729,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=1 Ack=7201 Win=4162 Len=0
11,0.103778,18.64.141.129,10.200.52.16,TCP,799,"443  >  62984 [PSH, ACK] Seq=7201 Ack=1 Win=510 Len=745 [TCP segment of a reassembled PDU]"
12,0.103793,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=1 Ack=7946 Win=4159 Len=0
13,0.104344,10.200.52.16,18.64.141.129,TCP,89,"62984  >  443 [PSH, ACK] Seq=1 Ack=7946 Win=4159 Len=35 [TCP segment of a reassembled PDU]"
14,0.120827,18.64.141.129,10.200.52.16,TCP,60,443  >  62984 [ACK] Seq=7946 Ack=36 Win=510 Len=0
15,0.252237,18.64.141.129,10.200.52.16,TCP,1494,[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=9386 Ack=36 Win=510 Len=1440 [TCP segment of a reassembled PDU]
16,0.252237,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=10826 Ack=36 Win=510 Len=1440 [TCP segment of a reassembled PDU]
17,0.252339,10.200.52.16,18.64.141.129,TCP,66,[TCP Dup ACK 12#1] 62984  >  443 [ACK] Seq=36 Ack=7946 Win=4159 Len=0 SLE=9386 SRE=12266
18,0.252456,18.64.141.129,10.200.52.16,TCP,1494,[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=7946 Ack=36 Win=510 Len=1440
19,0.252456,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=12266 Ack=36 Win=510 Len=1440 [TCP segment of a reassembled PDU]
20,0.252546,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=36 Ack=12266 Win=4162 Len=0
21,0.252681,18.64.141.129,10.200.52.16,TCP,1494,"[TCP Previous segment not captured] 443  >  62984 [PSH, ACK] Seq=16586 Ack=36 Win=510 Len=1440 [TCP segment of a reassembled PDU]"
22,0.252681,18.64.141.129,10.200.52.16,TCP,1494,[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=13706 Ack=36 Win=510 Len=1440
23,0.252779,10.200.52.16,18.64.141.129,TCP,66,62984  >  443 [ACK] Seq=36 Ack=13706 Win=4162 Len=0 SLE=16586 SRE=18026
24,0.252811,10.200.52.16,18.64.141.129,TCP,66,62984  >  443 [ACK] Seq=36 Ack=15146 Win=4162 Len=0 SLE=16586 SRE=18026
25,0.252972,18.64.141.129,10.200.52.16,TCP,1494,[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=15146 Ack=36 Win=510 Len=1440
26,0.252972,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=18026 Ack=36 Win=510 Len=1440 [TCP segment of a reassembled PDU]
27,0.252972,18.64.141.129,10.200.52.16,TCP,1494,[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=20906 Ack=36 Win=510 Len=1440 [TCP segment of a reassembled PDU]
28,0.253072,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=36 Ack=18026 Win=4162 Len=0
29,0.253135,10.200.52.16,18.64.141.129,TCP,66,62984  >  443 [ACK] Seq=36 Ack=19466 Win=4162 Len=0 SLE=20906 SRE=22346
30,0.253537,18.64.141.129,10.200.52.16,TCP,1494,[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=19466 Ack=36 Win=510 Len=1440 [TCP segment of a reassembled PDU]
31,0.253537,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=22346 Ack=36 Win=510 Len=1440 [TCP segment of a reassembled PDU]
32,0.253537,18.64.141.129,10.200.52.16,TCP,620,"443  >  62984 [PSH, ACK] Seq=23786 Ack=36 Win=510 Len=566 [TCP segment of a reassembled PDU]"
33,0.253537,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=24352 Ack=36 Win=510 Len=1440 [TCP segment of a reassembled PDU]
34,0.253537,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=25792 Ack=36 Win=510 Len=1440 [TCP segment of a reassembled PDU]
35,0.253655,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=36 Ack=22346 Win=4162 Len=0
36,0.253699,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=36 Ack=27232 Win=4162 Len=0
37,0.253787,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=27232 Ack=36 Win=510 Len=1440 [TCP segment of a reassembled PDU]
38,0.253787,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=28672 Ack=36 Win=510 Len=1440 [TCP segment of a reassembled PDU]
39,0.253825,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=36 Ack=30112 Win=4162 Len=0
40,0.253953,18.64.141.129,10.200.52.16,TCP,1494,[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=31552 Ack=36 Win=510 Len=1440 [TCP segment of a reassembled PDU]
41,0.254,10.200.52.16,18.64.141.129,TCP,66,[TCP Dup ACK 39#1] 62984  >  443 [ACK] Seq=36 Ack=30112 Win=4162 Len=0 SLE=31552 SRE=32992
42,0.254179,18.64.141.129,10.200.52.16,TCP,1494,[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=30112 Ack=36 Win=510 Len=1440 [TCP segment of a reassembled PDU]
43,0.254246,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=36 Ack=32992 Win=4162 Len=0
44,0.254364,18.64.141.129,10.200.52.16,TCP,1494,"443  >  62984 [PSH, ACK] Seq=32992 Ack=36 Win=510 Len=1440 [TCP segment of a reassembled PDU]"
45,0.254575,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=34432 Ack=36 Win=510 Len=1440 [TCP segment of a reassembled PDU]
46,0.254623,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=36 Ack=35872 Win=4162 Len=0
