Info
62984  >  443 [ACK] Seq=12810 Ack=13167401 Win=4162 Len=0
[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=1978145 Ack=1953 Win=517 Len=1440 [TCP segment of a reassembled PDU]
443  >  62984 [ACK] Seq=3805634 Ack=3230 Win=522 Len=1440 [TCP segment of a reassembled PDU]
62984  >  443 [ACK] Seq=675 Ack=1086439 Win=4162 Len=0
62984  >  443 [ACK] Seq=3230 Ack=3414760 Win=4162 Len=0
[TCP Dup ACK 17279#1] 62984  >  443 [ACK] Seq=11532 Ack=12154679 Win=4162 Len=0 SLE=12156119 SRE=12157475
62984  >  443 [ACK] Seq=4506 Ack=4990836 Win=4162 Len=0
[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=9161704 Ack=8979 Win=543 Len=1440 [TCP segment of a reassembled PDU]
62984  >  443 [ACK] Seq=5784 Ack=6023995 Win=4162 Len=0
"443  >  62984 [PSH, ACK] Seq=2029677 Ack=1953 Win=517 Len=1440 [TCP segment of a reassembled PDU]"
443  >  62984 [ACK] Seq=5120436 Ack=4506 Win=526 Len=1440 [TCP segment of a reassembled PDU]
[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=11926140 Ack=11532 Win=552 Len=1440 [TCP segment of a reassembled PDU]
443  >  62984 [ACK] Seq=10024081 Ack=9617 Win=545 Len=1440 [TCP segment of a reassembled PDU]
[TCP Dup ACK 15502#1] 62984  >  443 [ACK] Seq=10255 Ack=10739750 Win=4162 Len=0 SLE=10741190 SRE=10745510
443  >  62984 [ACK] Seq=11853473 Ack=11532 Win=552 Len=1440 [TCP segment of a reassembled PDU]
[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=12070075 Ack=11532 Win=552 Len=1440 [TCP segment of a reassembled PDU]
443  >  62984 [ACK] Seq=4293127 Ack=3868 Win=524 Len=1440 [TCP segment of a reassembled PDU]
62984  >  443 [ACK] Seq=8340 Ack=8744914 Win=4162 Len=0 SLE=8746354 SRE=8747794
[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=9258184 Ack=8979 Win=543 Len=1440 [TCP segment of a reassembled PDU]
443  >  62984 [ACK] Seq=12160355 Ack=11532 Win=552 Len=1440 [TCP segment of a reassembled PDU]
62984  >  443 [ACK] Seq=1279 Ack=1288557 Win=4162 Len=0
"443  >  62984 [PSH, ACK] Seq=3496840 Ack=3230 Win=522 Len=1440 [TCP segment of a reassembled PDU]"
62984  >  443 [ACK] Seq=5145 Ack=5286730 Win=4162 Len=0
62984  >  443 [ACK] Seq=12171 Ack=12317398 Win=4162 Len=0 SLE=12321718 SRE=12327478 SLE=12318838 SRE=12320278
[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=8129018 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
62984  >  443 [ACK] Seq=10255 Ack=10542980 Win=4162 Len=0
57338  >  443 Len=1250
443  >  62984 [ACK] Seq=2944990 Ack=2592 Win=519 Len=1440 [TCP segment of a reassembled PDU]
62984  >  443 [ACK] Seq=6423 Ack=6975169 Win=4162 Len=0 SLE=6976609 SRE=6978049
62984  >  443 [ACK] Seq=12171 Ack=12743638 Win=4162 Len=0
Application Data
443  >  62984 [ACK] Seq=3861927 Ack=3868 Win=524 Len=0
"443  >  62984 [PSH, ACK] Seq=7981270 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]"
443  >  59315 Len=22
[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=741848 Ack=675 Win=512 Len=1440 [TCP segment of a reassembled PDU]
